step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
409,0.13785,0.9434,,
410,0.09044,0.97163,,
411,0.10192,0.98214,,
412,0.14582,0.95109,,
413,0.25923,0.92727,,
414,0.19986,0.95652,,
415,0.14738,0.9607,,
416,0.13324,0.95946,,
417,0.01184,1.0,,
418,0.07778,0.95775,,
419,0.44018,0.92308,,
420,0.34422,0.92222,,
421,0.12161,0.95965,,
422,0.01532,0.99038,,
423,0.31792,0.92045,,
424,0.06166,0.98352,,
425,0.32254,0.94318,,
426,0.07469,0.98,,
427,0.36683,0.92188,,
428,0.33726,0.90909,,
429,0.05503,0.98473,,
430,0.33057,0.92958,,
431,0.12446,0.9434,,
432,0.08015,0.97455,,
433,0.07475,0.98113,,
434,0.08681,0.98182,,
435,0.10345,0.96154,,
436,0.13143,0.96673,,
437,0.20564,0.95652,,
438,0.06444,0.98529,,
439,0.03682,1.0,,
440,0.03535,0.99,,
441,0.09302,0.96053,,
442,0.00355,1.0,,
443,0.08935,0.96,,
444,0.03193,0.98864,,
445,0.24415,0.95161,,
446,0.12012,0.97436,,
447,0.14677,0.96825,,
448,0.07017,0.98039,,
449,0.04884,0.99027,,
450,0.02419,1.0,,
451,0.31526,0.94737,,
452,0.14392,0.93878,,
453,0.23605,0.93333,,
454,0.28503,0.94828,,
455,0.35132,0.87952,,
456,0.18547,0.96512,,
457,0.13879,0.96875,,
458,0.08537,0.96591,,
459,0.16346,0.9726,,
460,0.10232,0.95652,,
461,0.1211,0.9434,,
462,0.07409,0.97959,,
463,0.0603,0.99028,,
464,0.13901,0.97701,,
465,0.12942,0.98667,,
466,0.08949,0.97887,,
467,0.12182,0.95402,,
468,0.03866,0.98225,,
469,0.05142,0.97768,,
470,0.10166,0.96053,,
471,0.08027,0.96667,,
472,0.14277,0.95455,,
473,0.04638,0.98182,,
474,0.00081,1.0,,
475,0.03268,0.98718,,
476,0.09062,0.95181,,
477,0.14351,0.97321,,
478,0.12432,0.96,,
479,0.03861,1.0,,
480,0.10219,0.95833,,
481,0.03719,0.99296,,
482,0.09517,0.98333,,
483,0.07099,0.97872,,
484,0.13901,0.95833,,
485,0.16483,0.95161,,
486,0.00109,1.0,,
487,0.31678,0.91011,,
488,0.13117,0.95238,,
489,0.14807,0.96694,,
490,0.00373,1.0,,
491,0.14287,0.95742,,
492,0.11289,0.93913,,
493,0.03726,0.98718,,
494,0.08355,0.9633,,
495,0.05497,0.99107,,
496,0.08409,0.98462,,
497,0.1144,0.96104,,
498,0.10743,0.97531,,
499,0.12923,0.94737,,
500,0.51724,0.87037,0.35748,0.93333
501,0.10983,0.96875,,
502,0.02197,0.98864,,
503,0.28056,0.95402,,
504,0.18148,0.95935,,
505,0.02622,0.9916,,
506,0.13536,0.96552,,
507,0.07163,0.9589,,
508,0.23362,0.91304,,
509,0.04038,0.98913,,
510,0.05022,0.97802,,
511,0.03437,0.99145,,
512,0.15505,0.9619,,
513,0.01043,0.98851,,
514,0.07985,0.97468,,
515,0.08658,0.95349,,
516,0.04614,0.98346,,
517,0.07217,0.94828,,
518,0.0106,1.0,,
519,0.073,0.98611,,
520,0.03506,0.98039,,
521,0.01489,0.99703,,
522,0.0154,0.99692,,
523,0.40769,0.87179,,
524,0.09999,0.98039,,
525,0.23622,0.9375,,
526,0.24559,0.9375,,
527,0.13426,0.95349,,
528,0.0612,0.98551,,
529,0.94873,0.84615,,
530,0.08648,0.97414,,
531,0.10518,0.94595,,
532,0.06865,0.96269,,
533,0.02846,1.0,,
534,0.01438,1.0,,
535,0.00551,1.0,,
536,0.09821,0.95775,,
537,0.055,0.97727,,
538,0.04204,0.98551,,
539,0.03929,1.0,,
540,0.07557,0.95556,,
541,0.10507,0.97561,,
542,0.03135,1.0,,
543,0.01311,0.98947,,
544,0.03126,0.98529,,
545,0.01541,1.0,,
546,0.13685,0.94444,,
547,0.09677,0.97778,,
548,0.01387,0.99749,,
549,0.00052,1.0,,
550,0.00144,1.0,,
551,0.00624,1.0,,
552,0.13692,0.95652,,
553,0.13332,0.97619,,
554,0.07574,0.97561,,
555,0.18754,0.96639,,
556,0.05622,0.98611,,
557,0.00218,1.0,,
558,0.05725,0.9901,,
559,0.10929,0.96694,,
560,0.3531,0.95556,,
561,0.01137,1.0,,
562,0.02554,0.98571,,
563,0.08083,0.97692,,
564,0.10581,0.97087,,
565,0.15768,0.97,,
566,0.03504,0.99735,,
567,0.00072,1.0,,
568,0.02465,0.98058,,
569,0.00844,1.0,,
570,0.00545,1.0,,
571,0.1267,0.9759,,
572,0.19936,0.94845,,
573,0.02992,0.98901,,
574,0.0903,0.98529,,
575,0.00211,1.0,,
576,0.06524,0.97753,,
577,0.03602,0.97872,,
578,0.0025,1.0,,
579,0.0129,0.99153,,
580,0.00207,1.0,,
581,0.18947,0.95918,,
582,0.14019,0.98837,,
583,0.11024,0.98148,,
584,0.0219,1.0,,
585,0.1114,0.96953,,
586,0.00321,1.0,,
587,0.02312,0.98851,,
588,0.03578,0.98529,,
589,0.05584,0.99494,,
590,0.01539,1.0,,
591,0.00528,1.0,,
592,0.01138,1.0,,
593,0.04038,0.99194,,
594,0.24731,0.94326,,
595,0.00184,1.0,,
596,0.10996,0.98276,,
597,0.00071,1.0,,
598,0.06991,0.9854,,
599,0.04306,0.9798,,
600,0.00507,1.0,0.01109,1.0
601,0.12025,0.98718,,
602,0.04024,0.98387,,
603,0.82266,0.8617,,
604,0.11566,0.98128,,
605,0.13826,0.96471,,
606,0.09977,0.97059,,
607,0.14925,0.95395,,
608,0.02548,1.0,,
609,0.06253,0.97921,,
610,0.10737,0.97472,,
611,0.0087,1.0,,
612,0.01513,0.99,,
613,0.00591,1.0,,
614,0.01084,1.0,,
615,0.02152,1.0,,
616,1.31138,0.75746,,
617,0.11336,0.95833,,
618,0.00312,1.0,,
619,0.20857,0.9661,,
620,0.02739,0.99448,,
621,0.05911,0.98592,,
622,0.02388,0.99259,,
623,0.16222,0.9375,,
624,0.01193,1.0,,
625,0.24182,0.96078,,
626,0.07699,0.98889,,
627,0.00433,1.0,,
628,0.01078,1.0,,
629,0.05748,0.97403,,
630,0.00132,1.0,,
631,0.23134,0.96774,,
632,0.00485,1.0,,
633,0.06117,0.98039,,
634,0.25531,0.94845,,
635,0.03155,0.99117,,
636,0.16878,0.95455,,
637,0.09439,0.97619,,
638,7e-05,1.0,,
639,0.02349,0.98864,,
640,0.00079,1.0,,
641,0.01288,1.0,,
642,0.01801,0.98276,,
643,0.08864,0.95181,,
644,0.10837,0.98969,,
645,0.2713,0.93182,,
646,0.23886,0.936,,
647,0.21504,0.9434,,
648,0.0528,0.98315,,
649,0.18353,0.97468,,
650,0.06962,0.97753,,
651,0.0289,0.98734,,
652,0.00904,0.99754,,
653,0.16727,0.96454,,
654,0.00809,1.0,,
655,0.00987,1.0,,
656,0.00393,1.0,,
657,0.07751,0.97959,,
658,0.0374,0.98182,,
659,0.00223,1.0,,
660,0.02166,0.99174,,
661,0.01374,1.0,,
662,0.00565,1.0,,
663,0.01399,0.99229,,
664,0.06262,0.97872,,
665,0.02086,0.99107,,
666,0.00291,1.0,,
667,0.29859,0.92453,,
668,0.00251,1.0,,
669,0.00118,1.0,,
670,0.14976,0.9875,,
671,0.06119,0.99005,,
672,0.00502,1.0,,
673,0.03001,0.98795,,
674,0.03296,0.98387,,
675,0.14536,0.98824,,
676,0.00139,1.0,,
677,0.05683,0.98413,,
678,0.00019,1.0,,
679,0.04436,0.98851,,
680,0.03384,0.99091,,
681,0.01885,0.99451,,
682,0.07053,0.97938,,
683,0.07988,0.99359,,
684,0.00938,0.99,,
685,0.07987,0.9901,,
686,0.12433,0.95506,,
687,0.00452,1.0,,
688,0.00703,1.0,,
689,0.00284,1.0,,
690,0.03481,0.98305,,
691,0.10317,0.98551,,
692,0.0018,1.0,,
693,0.02651,0.98969,,
694,0.17911,0.97778,,
695,0.00107,1.0,,
696,0.01018,1.0,,
697,0.04437,0.98777,,
698,0.02205,0.98561,,
699,0.00266,1.0,,
700,0.00408,1.0,0.00088,1.0
701,0.43637,0.93846,,
702,0.00042,1.0,,
703,0.05693,0.9863,,
704,0.00116,1.0,,
705,0.01482,1.0,,
706,0.00122,1.0,,
707,0.00066,1.0,,
708,0.00121,1.0,,
709,0.00028,1.0,,
